dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy,task_group
deep4mc/D.melanogaster_4mC,zhihan1996/DNABERT-2-117M,attention,linear,768,126466,54200,2,42,4,4,roc_auc,0.5871543672295527,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1355147423029402,0.5923400117100802,0.5677226232289572,0.5677490774907749,other
deep4mc/E.coli_4mC,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,8681,3721,2,42,4,4,roc_auc,0.6904897135764266,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2100714636703819,0.7018069093216548,0.5964249417485405,0.8142972319269014,other
deep4mc/E.coli_4mC,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,8681,3721,2,42,4,4,roc_auc,0.7191036949584427,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1829736737299332,0.7277127045385984,0.5679019997577778,0.8247782854071486,other
deep4mc/E.coli_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,8681,3721,2,42,4,4,roc_auc,0.7191036949584427,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1829736737299332,0.7277127045385984,0.5679019997577778,0.8247782854071486,other
deep4mc/E.coli_4mC,zhihan1996/DNABERT-2-117M,mean_max,linear,1536,8681,3721,2,42,4,4,roc_auc,0.5579494005060812,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.0510672154285749,0.5909794967284226,0.4904869247128601,0.8210158559527009,other
deep4mc/G.pickeringii_4mC,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,24053,10309,2,42,4,4,roc_auc,0.718404178461111,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1898655270913383,0.725539112933114,0.5569917247956518,0.8330584925792996,other
deep4mc/G.pickeringii_4mC,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,24053,10309,2,42,4,4,roc_auc,0.7183962886519677,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1889701725156408,0.7255593712942952,0.5562702063963327,0.8330584925792996,other
deep4mc/G.pickeringii_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,24053,10309,2,42,4,4,roc_auc,0.7183962886519677,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1889701725156408,0.7255593712942952,0.5562702063963327,0.8330584925792996,other
deep4mc/G.pickeringii_4mC,zhihan1996/DNABERT-2-117M,mean_max,linear,1536,24053,10309,2,42,4,4,roc_auc,0.5786761718790236,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.0381056673967574,0.5950243838849683,0.4733597870784871,0.8281113590066932,other
deep4mc/G.subterraneus_4mC,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,63567,27243,2,42,4,4,roc_auc,0.6923089506676834,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.16725657296697,0.7059039238929204,0.547249923451535,0.8298645523620747,other
deep4mc/G.subterraneus_4mC,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,63567,27243,2,42,4,4,roc_auc,0.7010763670112957,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.141916188276122,0.7098795672368396,0.5208498084366332,0.8325808464559703,other
deep4mc/G.subterraneus_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,63567,27243,2,42,4,4,roc_auc,0.7010763670112957,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.141916188276122,0.7098795672368396,0.5208498084366332,0.8325808464559703,other
deep4mc/G.subterraneus_4mC,zhihan1996/DNABERT-2-117M,attention,linear,768,63567,27243,2,42,4,4,roc_auc,0.5756390548933289,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.0135532202377394,0.5835364477632156,0.4558132395010609,0.8332048599640275,other
enhancers/enhancer,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,14968,400,2,42,4,4,roc_auc,0.967816465613012,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4800735832326195,0.8105500000000002,0.7361129436601135,0.7375,regulatory
enhancers/enhancer,LongSafari/hyenadna-medium-160k-seqlen-hf,max,linear,256,14968,400,2,42,4,4,roc_auc,0.9127561923659124,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.43544110754525,0.7791249999999998,0.717356911936668,0.7175,regulatory
enhancers/enhancer,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean_max,linear,512,14968,400,2,42,4,4,roc_auc,0.9468867273165114,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.4518336469549572,0.7936249999999999,0.7244419950399559,0.725,regulatory
enhancers/enhancer,zhihan1996/DNABERT-2-117M,mean_max,linear,1536,14968,400,2,42,4,4,roc_auc,0.9277737277258652,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4705886038624533,0.8026499999999999,0.7348342714196372,0.735,regulatory
enhancers/enhancer_strength,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,14968,400,3,42,4,4,accuracy,0.8313067878140031,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4293267257498345,0.7513277777777777,0.56199727066357,0.6275,regulatory
enhancers/enhancer_strength,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,14968,400,3,42,4,4,accuracy,0.8499465526456441,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3466501408716289,0.713863888888889,0.5024691358024691,0.575,regulatory
enhancers/enhancer_strength,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean_max,linear,512,14968,400,3,42,4,4,accuracy,0.8007749866381615,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.3503413830867206,0.7363444444444444,0.5233746077735848,0.585,regulatory
enhancers/enhancer_strength,zhihan1996/DNABERT-2-117M,max,linear,768,14968,400,3,42,4,4,accuracy,0.7089791555318012,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3081310128395197,0.696525,0.4900604324849988,0.57,regulatory
genomic_benchmark/coding,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,75000,25000,2,42,4,4,roc_auc,0.9843668878222224,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8810054463734001,0.9833344063999998,0.940307622188537,0.94032,other
genomic_benchmark/coding,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,75000,25000,2,42,4,4,roc_auc,0.9843662990222222,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8809356405709077,0.9833341888,0.9402672673707126,0.94028,other
genomic_benchmark/coding,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,75000,25000,2,42,4,4,roc_auc,0.9843662990222222,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8809356405709077,0.9833341888,0.9402672673707126,0.94028,other
genomic_benchmark/coding,zhihan1996/DNABERT-2-117M,attention,linear,768,75000,25000,2,42,4,4,roc_auc,0.9427540963555556,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7420916360880816,0.9432929792,0.8710389889456733,0.87104,other
genomic_benchmark/enhancer_cohn,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,20843,6948,2,42,4,4,roc_auc,0.8323070624244038,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4932127027585412,0.8313645175328264,0.7465146360146907,0.7465457685664939,regulatory
genomic_benchmark/enhancer_cohn,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,20843,6948,2,42,4,4,roc_auc,0.83229207327959,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4946491825452693,0.8313597945623862,0.7472351571594877,0.7472654001151411,regulatory
genomic_benchmark/enhancer_cohn,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,attention,linear,256,20843,6948,2,42,4,4,roc_auc,0.8298192117398464,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.496163510923897,0.833420169702128,0.7479359030127134,0.7479850316637882,regulatory
genomic_benchmark/enhancer_cohn,zhihan1996/DNABERT-2-117M,attention,linear,768,20843,6948,2,42,4,4,roc_auc,0.8052453181970691,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.449647326879832,0.8063896155634637,0.7248063059296987,0.7248128957973518,regulatory
genomic_benchmark/enhancer_ensembl,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,123872,30970,2,42,4,4,roc_auc,0.8702958874690425,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.5854139025226035,0.8727798282817468,0.792613626327433,0.7926380368098159,regulatory
genomic_benchmark/enhancer_ensembl,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,123872,30970,2,42,4,4,roc_auc,0.8567755998458689,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.5602388970996878,0.8565528026174257,0.7798361439510184,0.7799160477881821,regulatory
genomic_benchmark/enhancer_ensembl,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,123872,30970,2,42,4,4,roc_auc,0.8567755998458689,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.5602388970996878,0.8565528026174257,0.7798361439510184,0.7799160477881821,regulatory
genomic_benchmark/enhancer_ensembl,zhihan1996/DNABERT-2-117M,attention,linear,768,123872,30970,2,42,4,4,roc_auc,0.7889546604127854,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4474115656264026,0.7887588945482358,0.7234357950266168,0.7235389086212464,regulatory
genomic_benchmark/human_vs_worm,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,75000,25000,2,42,4,4,roc_auc,0.9940849408,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.9288849966716132,0.9947001856,0.9644399043575668,0.96444,other
genomic_benchmark/human_vs_worm,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,75000,25000,2,42,4,4,roc_auc,0.9940830520888888,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.9291257561377148,0.994698016,0.964559890220716,0.96456,other
genomic_benchmark/human_vs_worm,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean_max,linear,512,75000,25000,2,42,4,4,roc_auc,0.9947433301333334,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.9334457829012276,0.9953010432,0.9667198969115528,0.96672,other
genomic_benchmark/human_vs_worm,zhihan1996/DNABERT-2-117M,mean,linear,768,75000,25000,2,42,4,4,roc_auc,0.9748847843555556,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.844727030861283,0.9765268736,0.9223596768920314,0.92236,other
genomic_benchmark/open_chromatin_region,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,139804,34952,2,42,4,4,roc_auc,0.7660555182811923,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.4021666018830623,0.7692507937249691,0.7005212628574358,0.7007610437170977,regulatory
genomic_benchmark/open_chromatin_region,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,139804,34952,2,42,4,4,roc_auc,0.7660667775401605,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.4018761252433399,0.7692693588973816,0.7003795492303478,0.7006179903868162,regulatory
genomic_benchmark/open_chromatin_region,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,139804,34952,2,42,4,4,roc_auc,0.7660667775401605,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.4018761252433399,0.7692693588973816,0.7003795492303478,0.7006179903868162,regulatory
