dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy
deep4mc/C.elegans_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,84926,36398,2,42,4,4,roc_auc,0.6159035111762619,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.1559988719044053,0.6083315772886178,0.577997046831496,0.5779987911423704
deep4mc/D.melanogaster_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,126466,54200,2,42,4,4,roc_auc,0.6375662301277449,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2011820289911715,0.6374969363162266,0.6004790315755814,0.6005535055350554
deep4mc/E.coli_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,8681,3721,2,42,4,4,roc_auc,0.6451849081452581,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.0834422051543305,0.6391346183853284,0.4802049720109279,0.83310937919914
deep4mc/G.pickeringii_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,24053,10309,2,42,4,4,roc_auc,0.6509777317172902,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.0841113002934674,0.6475362919393811,0.4772966833343627,0.8337375109127947
deep4mc/G.subterraneus_4mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,63567,27243,2,42,4,4,roc_auc,0.6162370716942795,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.0176188281451667,0.6289187751196693,0.456052758321703,0.8332782733179165
enhancers/enhancer,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,14968,400,2,42,4,4,roc_auc,0.9211855057402344,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4474735344333805,0.7862750000000001,0.7217330266547171,0.7225
enhancers/enhancer_strength,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,14968,400,3,42,4,4,accuracy,0.7594200962052378,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2542518340353092,0.705375,0.4643245099087639,0.5275
genomic_benchmark/coding,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,75000,25000,2,42,4,4,roc_auc,0.968077787022222,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.815757230413923,0.969130592,0.9078356374551976,0.90784
genomic_benchmark/enhancer_cohn,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,20843,6948,2,42,4,4,roc_auc,0.8079825572663594,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4583051191943464,0.8098857737170175,0.7291177567305541,0.7291306850892343
genomic_benchmark/enhancer_ensembl,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,max,linear,256,123872,30970,2,42,4,4,roc_auc,0.7912991182730036,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4470050701952039,0.7896238248207328,0.7234568817956348,0.7234743299967711
