dataset,pca_fm_NTv3_650M_pre_MCC,pca_fm_NTv3_650M_pre_AUROC,pca_fm_NTv3_650M_pre_F1,pca_fm_NTv3_650M_pre_Accuracy,pca_kmer_k4_MCC,pca_kmer_k4_AUROC,pca_kmer_k4_F1,pca_kmer_k4_Accuracy,pca_kmer_k5_MCC,pca_kmer_k5_AUROC,pca_kmer_k5_F1,pca_kmer_k5_Accuracy,pca_kmer_k6_MCC,pca_kmer_k6_AUROC,pca_kmer_k6_F1,pca_kmer_k6_Accuracy,pca_kmer_k7_MCC,pca_kmer_k7_AUROC,pca_kmer_k7_F1,pca_kmer_k7_Accuracy,pca_kmer_k8_MCC,pca_kmer_k8_AUROC,pca_kmer_k8_F1,pca_kmer_k8_Accuracy,pca_fm_hyenadna-medium-160k-seqlen-hf_MCC,pca_fm_hyenadna-medium-160k-seqlen-hf_AUROC,pca_fm_hyenadna-medium-160k-seqlen-hf_F1,pca_fm_hyenadna-medium-160k-seqlen-hf_Accuracy,pca_fm_DNABERT-2-117M_MCC,pca_fm_DNABERT-2-117M_AUROC,pca_fm_DNABERT-2-117M_F1,pca_fm_DNABERT-2-117M_Accuracy
iPro-WAEL/Promoter_R_capsulatus,0.3867122768420384,0.7806296154881155,0.6922935323383085,0.693228346456693,0.3775964659638066,0.7701172372679407,0.6881146916361454,0.6881889763779527,0.3795853781632087,0.7678560797235647,0.6827961415222747,0.6850393700787402,0.4133672825230542,0.7793126906623757,0.6695284490603873,0.6834645669291338,,,,,,,,,0.2757384005517607,0.6904262184729865,0.6377871909844848,0.6377952755905512,0.1955966464990572,0.6438897148885535,0.5969410779649847,0.5981102362204724
mouse/mouse_TFBS_1,0.4641519693447137,0.8160625920845398,0.7301615546519549,0.7308641975308642,0.4041157738367086,0.7773544005825671,0.7020574113413682,0.7020576131687243,0.4215158185457349,0.7899270097715457,0.7092699139035725,0.7098765432098766,0.4159322021841286,0.7764778404376027,0.7070143882147113,0.7074074074074074,,,,,,,,,0.0963009933042824,0.5849758674998731,0.54813712878229,0.5481481481481482,0.2116491255250808,0.6540439296177751,0.6056435088061667,0.605761316872428
mouse/mouse_TFBS_2,0.7529537120267965,0.950357263277854,0.8713438466014445,0.8720901497553502,0.584117429940156,0.8784610136531096,0.7920104094875959,0.7920229328325014,0.5520547844597067,0.8736160391196821,0.7744729425535923,0.7749221568724362,0.5309900586852597,0.8596121405651154,0.7638367217491213,0.7643453763653437,,,,,,,,,0.6228902691723918,0.8937783605989441,0.8098339365898908,0.8102110413680621,0.540435703144249,0.851565020615071,0.7698071537708308,0.7699303118667523
mouse/mouse_TFBS_3,0.7232564465436768,0.9523475402778466,0.8592041350105866,0.8596134282807731,0.6005681423293757,0.9047985693706224,0.7993804810078061,0.7995930824008138,0.6277532218211073,0.9178422996042588,0.8085606719398462,0.8097660223804679,0.600103629704686,0.9106643154007916,0.7829836408788948,0.7873855544252288,,,,,,,,,0.5768117861878863,0.8938411736459523,0.7884026294438097,0.7884028484231943,0.5585958262893217,0.8622356895666716,0.7792325804031153,0.7792472024415056
mouse/mouse_TFBS_4,0.4553321054107462,0.8062688762655901,0.7201598747568669,0.7230769230769231,0.4718263046051108,0.8023253994335164,0.7354967009264026,0.7356643356643356,0.4636201771117312,0.8056429275620864,0.7312366871319383,0.7314685314685314,0.4605276297618825,0.8314007167112654,0.7075699972398009,0.7160839160839161,,,,,,,,,0.138609548522518,0.5949838035772969,0.5688588522741511,0.5692307692307692,0.2689086000880073,0.6965126832856047,0.6288104445115583,0.6321678321678321
mouse/mouse_TFBS_5,0.3518650587048867,0.7491869371133213,0.6749053306603167,0.6753982300884955,0.3403274732034775,0.7376967342783303,0.6700155573583748,0.6700884955752212,0.344634310909973,0.7406451249118959,0.6714216132062972,0.6718584070796461,0.305455624013382,0.7101825984806955,0.6508675150043672,0.651858407079646,,,,,,,,,0.1609895068216555,0.6126942438718772,0.5799870391897866,0.580353982300885,0.1745406146582958,0.6241359542642337,0.5872243107769424,0.5872566371681416
prom/promoter_all_300bps,0.8056867352792491,0.9568361715415156,0.9024904210603516,0.9025282955121346,0.7682775455416299,0.9458465553908452,0.8839173114506076,0.883946168140098,0.7610187095589938,0.9418217864502636,0.8803814634814864,0.8803986710963455,0.7441688141972084,0.9373026076814508,0.8715337301199018,0.8716143927022918,,,,,,,,,0.730193292050275,0.9376153140977443,0.865079956965167,0.8650824933836365,0.7053485826509993,0.9220856809619622,0.8526306805765698,0.8526380989920603
prom/promoter_all_70bps,0.5794620584909478,0.8699223177169738,0.7895130096876264,0.7895714848809054,0.5808813550860628,0.8701932398949238,0.7897929697292803,0.7899656512191002,0.5622236707880451,0.86368989005336,0.7806598066870774,0.7807872064868517,0.5476433154931141,0.849605018775956,0.7734007316331771,0.773523283968692,,,,,,,,,0.4985176133395823,0.8248086384616399,0.7485726745179386,0.7488034236161946,0.4662711504102592,0.811633102299281,0.7327133176170773,0.732867841657751
prom/promoter_notata_300bps,0.887621028658606,0.9845206560440392,0.9437127645048092,0.943718592964824,0.851949800198583,0.9780155330673468,0.9258027974669591,0.9258165829145728,0.8476762540677274,0.9762589486376608,0.923735225684838,0.9237437185929648,0.8249062690878091,0.97337728213934,0.9124354930033164,0.9124371859296484,,,,,,,,,0.8073821897849204,0.9636754359107093,0.903285808225938,0.9033291457286432,0.777558798010615,0.9535755252392616,0.8884656823709851,0.8885050251256281
prom/promoter_notata_70bps,0.6213662768482898,0.8883716793767833,0.8106769457785434,0.810678391959799,0.617221624321468,0.8877667072801192,0.8083569534953733,0.8084170854271356,0.5981169088210089,0.8808096386454887,0.7989736417446386,0.7989949748743719,0.5728997277837306,0.8686398702052979,0.7859942287893096,0.7861180904522613,,,,,,,,,0.5385088542285849,0.8454726206408929,0.7689375484737393,0.7690326633165829,0.5048389371437207,0.8291308931592637,0.7520900257840284,0.7521984924623115
prom/promoter_tata_300bps,0.5339256354177517,0.8400129962192816,0.7667976120803421,0.7668478260869566,0.415383302931305,0.7747997400756144,0.7075503024587848,0.7076086956521739,0.4236399631695913,0.7747217627599244,0.7111358342170875,0.7114130434782608,0.3127446428976907,0.7523966209829868,0.6145103096663471,0.6369565217391304,,,,,,,,,0.4446600539929842,0.7997690217391304,0.7222529930678454,0.7222826086956522,0.3316865652930282,0.72085834120983,0.6656778222614963,0.6657608695652174
prom/promoter_tata_70bps,0.4929014106678387,0.8202014413988656,0.7452401154513858,0.7456521739130435,0.4685781987065432,0.8087635869565217,0.7342107898437895,0.7342391304347826,0.4387893296247342,0.7918484168241966,0.7178903101454355,0.7184782608695652,0.4159551524421713,0.789148747637051,0.6770156343156722,0.6902173913043478,,,,,,,,,0.4014454151634761,0.7761986058601135,0.699459922663482,0.7,0.3174033046996215,0.7172512996219281,0.6586892001739164,0.658695652173913
splice/acceptors,0.7644838098381808,0.932561346921812,0.8813939051372377,0.8815749924857229,0.4540265105446781,0.8005610668401366,0.7203607565828543,0.7233243162007815,0.4623279303373251,0.7963094270071014,0.7186517590482577,0.7239254583709047,0.4479296936378249,0.791754937568891,0.7015410939722866,0.711151187255786,,,,,,,,,0.4088263540604808,0.7744590357962452,0.6994829580260598,0.7019837691614067,0.3886023044931315,0.7568540503424225,0.6889314080661615,0.6917643522693117
