model,dataset,split,max_length,n_sequences,n_truncated,truncation_rate,mean_tokens,max_tokens,fraction_retained_mean
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K4me3,train,32768,25759,0,0.0,499.99064404674095,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K4me3,test,32768,11040,0,0.0,499.98097826086956,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K79me3,train,32768,20185,0,0.0,499.98806044092146,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K79me3,test,32768,8652,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K9ac,train,32768,19447,0,0.0,499.989201419242,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H3K9ac,test,32768,8335,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H4,train,32768,10220,0,0.0,499.97641878669276,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H4,test,32768,4381,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H4ac,train,32768,23866,0,0.0,499.98906394033355,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,EMP/Yeast_H4ac,test,32768,10229,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/A.thaliana_4mC,train,32768,156697,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/A.thaliana_4mC,test,32768,67157,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/C.elegans_4mC,train,32768,84926,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/C.elegans_4mC,test,32768,36398,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/D.melanogaster_4mC,train,32768,126466,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/D.melanogaster_4mC,test,32768,54200,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/E.coli_4mC,train,32768,8681,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/E.coli_4mC,test,32768,3721,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/G.pickeringii_4mC,train,32768,24053,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/G.pickeringii_4mC,test,32768,10309,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/G.subterraneus_4mC,train,32768,63567,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,deep4mc/G.subterraneus_4mC,test,32768,27243,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,enhancers/enhancer,train,32768,14968,0,0.0,199.26276055585248,200,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,enhancers/enhancer,test,32768,400,0,0.0,200.0,200,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,enhancers/enhancer_strength,train,32768,14968,0,0.0,199.26276055585248,200,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,enhancers/enhancer_strength,test,32768,400,0,0.0,200.0,200,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/coding,train,32768,75000,0,0.0,200.0,200,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/coding,test,32768,25000,0,0.0,200.0,200,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/enhancer_cohn,train,32768,20843,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/enhancer_cohn,test,32768,6948,0,0.0,500.0,500,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/enhancer_ensembl,train,32768,123872,0,0.0,269.1078532678894,573,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/enhancer_ensembl,test,32768,30970,0,0.0,267.88931223764934,573,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/human_vs_worm,train,32768,75000,0,0.0,200.0,200,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/human_vs_worm,test,32768,25000,0,0.0,200.0,200,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/open_chromatin_region,train,32768,139804,0,0.0,326.20916425853335,593,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/open_chromatin_region,test,32768,34952,0,0.0,326.8895628290227,593,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/promoter_notata_251bps,train,32768,27097,0,0.0,251.0,251,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/promoter_notata_251bps,test,32768,9034,0,0.0,251.0,251,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/regulatory_region_type,train,32768,150000,0,0.0,429.9440866666667,802,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,genomic_benchmark/regulatory_region_type,test,32768,57713,0,0.0,430.0892866425242,802,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iDHS-EL/DNase_I,train,32768,711,0,0.0,242.63009845288326,275,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iDHS-EL/DNase_I,test,32768,306,0,0.0,242.58823529411765,275,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iDNA_ABF/5mC,train,32768,3281,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iDNA_ABF/5mC,test,32768,1407,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iDNA_ABF/6mA,train,32768,25668,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iDNA_ABF/6mA,test,32768,11002,0,0.0,41.0,41,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_Arabidopsis_NonTATA,train,32768,8267,0,0.0,251.0,251,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_Arabidopsis_NonTATA,test,32768,3543,0,0.0,251.0,251,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_Arabidopsis_TATA,train,32768,3063,0,0.0,251.0,251,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_Arabidopsis_TATA,test,32768,1313,0,0.0,251.0,251,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_B_amyloliquefaciens,train,32768,1483,0,0.0,40.0,40,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_B_amyloliquefaciens,test,32768,636,0,0.0,40.0,40,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_GM12878,train,32768,10992,0,0.0,1629.9743449781658,2999,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_GM12878,test,32768,2750,0,0.0,1594.8487272727273,2995,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_HUVEC,train,32768,11928,0,0.0,1320.6470489604292,2997,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_HUVEC,test,32768,2982,0,0.0,1333.448021462106,2993,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_Hela-S3,train,32768,11736,0,0.0,1165.105828220859,2999,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_Hela-S3,test,32768,2936,0,0.0,1165.366485013624,2998,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_NHEK,train,32768,8170,0,0.0,499.2900856793146,2400,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_NHEK,test,32768,2044,0,0.0,502.3483365949119,1800,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_R_capsulatus,train,32768,7406,0,0.0,40.0,40,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,iPro-WAEL/Promoter_R_capsulatus,test,32768,3175,0,0.0,40.0,40,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_1,train,32768,5668,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_1,test,32768,2430,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_2,train,32768,47209,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_2,test,32768,20233,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_3,train,32768,2293,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_3,test,32768,983,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_4,train,32768,1667,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_4,test,32768,715,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_5,train,32768,13180,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,mouse/mouse_TFBS_5,test,32768,5650,0,0.0,101.0,101,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_all_300bps,train,32768,41437,0,0.0,300.0,300,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_all_300bps,test,32768,17759,0,0.0,300.0,300,1.0
LongSafari/hyenadna-medium-160k-seqlen-hf,prom/promoter_all_70bps,train,32768,41437,0,0.0,70.0,70,1.0
