dataset,biocat,gc_content_mean,seq_len_mean,n_train,n_test,n_classes,kmer_k4_MCC,kmer_k5_MCC,kmer_k6_MCC,kmer_k4_AUROC,kmer_k5_AUROC,kmer_k6_AUROC,best_k,delta_k6_k4
iPro-WAEL/Promoter_Hela-S3,promoter,0.5446,1165.2,11736.0,2936.0,2.0,0.8780232803569717,0.8748898917318654,0.872274208715494,0.9817394145030404,0.9799032400567232,0.9767547832413932,4,-0.005749071641477754
iPro-WAEL/Promoter_NHEK,promoter,0.5898,499.9,8170.0,2044.0,2.0,0.7525661843691549,0.7402719939039719,0.7375107559353511,0.9407429888825488,0.9358668969558176,0.9337175102730152,4,-0.015055428433803808
iPro-WAEL/Promoter_R_capsulatus,promoter,0.6478,40.0,7406.0,3175.0,2.0,0.4064053451604786,0.3841810173182615,0.366185345859809,0.7897321935331767,0.7786986814081809,0.7598215681963052,4,-0.04021999930066961
mouse/mouse_TFBS_1,TFBS,0.5904,101.0,5668.0,2430.0,2.0,0.4416049518270179,0.5006563550661874,0.4979019079262202,0.7903619028264661,0.8294887296990636,0.8287889718708192,5,0.05629695609920227
mouse/mouse_TFBS_2,TFBS,0.3764,101.0,47209.0,20233.0,2.0,0.6819068481034495,0.6982134667906812,0.651620085254239,0.9254835858181694,0.9321361775412724,0.917240801405681,5,-0.030286762849210502
mouse/mouse_TFBS_3,TFBS,0.478,101.0,2293.0,983.0,2.0,0.6808964187417977,0.7613526697459722,0.7478708514374496,0.933489808421506,0.960202341330949,0.9588528471842764,5,0.06697443269565184
mouse/mouse_TFBS_4,TFBS,0.4772,101.0,1667.0,715.0,2.0,0.4921598828379329,0.6261643186147426,0.6676825915302869,0.8235294117647058,0.8720873824390092,0.8875717884919332,6,0.17552270869235398
mouse/mouse_TFBS_5,TFBS,0.6212,101.0,13180.0,5650.0,2.0,0.3870082880854226,0.3916988592317517,0.3676950603017631,0.7621672488057013,0.7690893883624403,0.7541373012765291,5,-0.019313227783659515
prom/promoter_all_300bps,promoter,0.5781,300.0,41437.0,17759.0,2.0,0.7615961382717149,0.7301055046732726,0.6437114143591518,0.948332479765496,0.9382166862492632,0.910734630198393,4,-0.1178847239125631
prom/promoter_all_70bps,promoter,0.5855,70.0,41437.0,17759.0,2.0,0.5596850011280262,0.5260252842561606,0.4056852382609066,0.8660280951917115,0.8396169687256803,0.7657850629940675,4,-0.15399976286711964
