dataset,n_train,n_test,n_classes,class_balance,seq_len_mean,seq_len_std,seq_len_min,seq_len_max,gc_content_mean,kmer_k4_AUROC,kmer_k4_Accuracy,kmer_k4_F1,kmer_k4_MCC,kmer_k5_AUROC,kmer_k5_Accuracy,kmer_k5_F1,kmer_k5_MCC,kmer_k6_AUROC,kmer_k6_Accuracy,kmer_k6_F1,kmer_k6_MCC,kmer_multi_k4_5_6_AUROC,kmer_multi_k4_5_6_Accuracy,kmer_multi_k4_5_6_F1,kmer_multi_k4_5_6_MCC,fm_NTv3_650M_pre_AUROC,fm_NTv3_650M_pre_Accuracy,fm_NTv3_650M_pre_F1,fm_NTv3_650M_pre_MCC,fm_hyenadna-medium-160k-seqlen-hf_AUROC,fm_hyenadna-medium-160k-seqlen-hf_Accuracy,fm_hyenadna-medium-160k-seqlen-hf_F1,fm_hyenadna-medium-160k-seqlen-hf_MCC,fm_DNABERT-2-117M_AUROC,fm_DNABERT-2-117M_Accuracy,fm_DNABERT-2-117M_F1,fm_DNABERT-2-117M_MCC
iPro-WAEL/Promoter_B_amyloliquefaciens,1483.0,636.0,2.0,0.9915,40.0,0.0,40.0,40.0,0.3935,0.878029726175054,0.8066037735849056,0.8065229381169202,0.6135288988226918,0.8786131740553583,0.8034591194968553,0.803154967799124,0.6084191516409551,0.8609811813336233,0.7735849056603774,0.7735042735042735,0.5477589755066715,0.8805909634801182,0.8066037735849056,0.8065918199327022,0.6132195377619192,0.8934268168468102,0.8144654088050315,0.8144488948227266,0.6289622340583804,0.8625090236642504,0.779874213836478,0.7797958214624882,0.5603481780876542,,,,
iPro-WAEL/Promoter_GM12878,10992.0,2750.0,2.0,1.0,1622.9,647.6,102.0,2999.0,0.5194,0.9786512396694216,0.9370909090909092,0.9370909007723504,0.8741820493704899,0.975084429752066,0.9352727272727271,0.9352727272727271,0.8705454545454545,0.9736679669421489,0.9301818181818182,0.9301818181818182,0.8603636363636363,0.9757149090909092,0.9378181818181818,0.9378181735957916,0.8756365952097087,0.9861590743801654,0.9465454545454546,0.946545447477084,0.8930911452803341,0.9761139834710744,0.9243636363636364,0.924361075892288,0.8487847395039496,,,,
iPro-WAEL/Promoter_HUVEC,11928.0,2982.0,2.0,1.0,1323.2,588.5,101.0,2997.0,0.537,0.9816754315294854,0.9510395707578806,0.9510289089745014,0.902472192133314,0.9814482693163228,0.9483568075117372,0.9483410989446116,0.8972594628352032,0.9804208663561966,0.9473507712944332,0.9473328549304056,0.8953108855173527,0.9818549121691922,0.9510395707578806,0.9510210418316654,0.9027624370358904,0.990466159352718,0.9584171696847752,0.9584129606236302,0.9170199829724496,0.9817811406781848,0.942655935613682,0.9426558775751872,0.8853136632968016,,,,
iPro-WAEL/Promoter_Hela-S3,11736.0,2936.0,2.0,1.0,1165.2,535.1,101.0,2999.0,0.5446,0.9817394145030404,0.9386920980926432,0.9386697860962568,0.8780232803569717,0.9799032400567232,0.9369891008174388,0.936956270173419,0.8748898917318654,0.9767547832413932,0.9356267029972752,0.935589035705518,0.872274208715494,0.9801542813444304,0.9410762942779292,0.9410508479493986,0.8829151663096828,0.988331452457142,0.9543596730245232,0.9543528101359816,0.9089927146351158,0.978176113119854,0.9274523160762944,0.927449277733016,0.8549762460537971,,,,
iPro-WAEL/Promoter_NHEK,8170.0,2044.0,2.0,1.0,499.9,302.4,200.0,2400.0,0.5898,0.9407429888825488,0.8747553816046967,0.8745011358752379,0.7525661843691549,0.9358668969558176,0.8683953033268101,0.8680858465476766,0.7402719939039719,0.9337175102730152,0.8674168297455969,0.8671761981619364,0.7375107559353511,0.9388731660800932,0.8767123287671232,0.8764620556271874,0.7564960338958867,0.966128729592794,0.9045988258317026,0.904567555123622,0.809728479210133,0.92778635192114,0.8537181996086106,0.853627074234762,0.7083188855982293,,,,
iPro-WAEL/Promoter_R_capsulatus,7406.0,3175.0,2.0,0.9689,40.0,0.0,40.0,40.0,0.6478,0.7897321935331767,0.702992125984252,0.7029916545716632,0.4064053451604786,0.7786986814081809,0.6919685039370079,0.6910298507462687,0.3841810173182615,0.7598215681963052,0.68,0.6750722017006079,0.366185345859809,0.7812464030647278,0.7033070866141732,0.7031414392059554,0.4063633078554318,0.786945536148753,0.695748031496063,0.6942396770936514,0.3925980414606801,0.6911454070758316,0.6305511811023622,0.630508809541455,0.261053777917028,,,,
mouse/mouse_TFBS_1,5668.0,2430.0,2.0,1.0,101.0,0.0,101.0,101.0,0.5904,0.7903619028264661,0.7205761316872428,0.7204329132690882,0.4416049518270179,0.8294887296990636,0.7481481481481481,0.7470515197387444,0.5006563550661874,0.8287889718708192,0.7465020576131687,0.7452552756977535,0.4979019079262202,0.8356422632051348,0.7526748971193415,0.7520187119806767,0.5080456333865855,0.8235157242290301,0.7460905349794239,0.7446739595230971,0.4977350282999436,0.5894453758742739,0.5613168724279836,0.5610668137922059,0.1227737121125661,,,,
mouse/mouse_TFBS_2,47209.0,20233.0,2.0,1.0,101.0,0.0,101.0,101.0,0.3764,0.9254835858181694,0.8409528987297978,0.8409527584765975,0.6819068481034495,0.9321361775412724,0.8490584688380368,0.8490481851067946,0.6982134667906812,0.917240801405681,0.8252360005930905,0.8250826922231365,0.651620085254239,0.9388468579150238,0.8480205604705184,0.8471828864315509,0.7037870446911748,0.9591054433785056,0.8877576236840805,0.8872586786814696,0.7824600778603458,0.9032741108547588,0.8212820639549251,0.8204792968449419,0.6483780983939404,,,,
mouse/mouse_TFBS_3,2293.0,983.0,2.0,1.0,101.0,0.0,101.0,101.0,0.478,0.933489808421506,0.8402848423194303,0.8402524394649376,0.6808964187417977,0.960202341330949,0.8799593082400814,0.8798547410114268,0.7613526697459722,0.9588528471842764,0.873855544252289,0.8738449691991786,0.7478708514374496,0.9594406636530723,0.8789420142421159,0.8786763371303697,0.7610583597709173,0.9482700809696488,0.8626653102746694,0.8621855284679492,0.7302262775333672,0.9007542264832016,0.7894201424211598,0.7892238258360101,0.5798248609721258,,,,
mouse/mouse_TFBS_4,1667.0,715.0,2.0,1.0,101.0,0.0,101.0,101.0,0.4772,0.8235294117647058,0.7454545454545455,0.7450910487055726,0.4921598828379329,0.8720873824390092,0.8097902097902098,0.8087393001007049,0.6261643186147426,0.8875717884919332,0.8321678321678322,0.8317171907362079,0.6676825915302869,0.8790901835594572,0.813986013986014,0.8126668308298448,0.6366190030459526,0.8087609345414144,0.7384615384615385,0.7357822785110297,0.4864725645678073,0.5877032377196689,0.5552447552447553,0.5549304707319365,0.110565383046915,,,,
