dataset,group,RF_MCC,LP_MCC,kmer_size,delta_MCC,RF_wins,LP_wins,tie
genomic_benchmark/promoter_notata_251bps,genomic_benchmark,0.7647858884649208,0.7750647094460206,6,-0.010278820981099779,False,True,False
genomic_benchmark/regulatory_region_type,genomic_benchmark,0.7264651934699327,0.4527568432978037,6,0.27370835017212897,True,False,False
iDHS-EL/DNase_I,iDHS-EL,0.5968101769219415,0.5532280931139303,6,0.04358208380801121,True,False,False
iDNA_ABF/5mC,iDNA_ABF,0.3174979732177252,0.3574980451017269,6,-0.040000071884001676,False,True,False
iDNA_ABF/6mA,iDNA_ABF,0.4595367926555976,0.5393907406410124,6,-0.07985394798541484,False,True,False
iPro-WAEL/Promoter_Arabidopsis_NonTATA,iPro-WAEL,0.7781905225664866,0.8245865538506617,6,-0.04639603128417513,False,True,False
iPro-WAEL/Promoter_Arabidopsis_TATA,iPro-WAEL,0.7508103188992693,0.7886388988632425,6,-0.03782857996397315,False,True,False
iPro-WAEL/Promoter_B_amyloliquefaciens,iPro-WAEL,0.5477589755066715,0.5857671557994171,6,-0.03800818029274555,False,True,False
iPro-WAEL/Promoter_GM12878,iPro-WAEL,0.8603636363636363,0.8686138331811237,6,-0.008250196817487399,False,True,False
iPro-WAEL/Promoter_HUVEC,iPro-WAEL,0.8953108855173527,0.9037458044846524,6,-0.008434918967299643,False,True,False
iPro-WAEL/Promoter_Hela-S3,iPro-WAEL,0.872274208715494,0.8954278352723131,6,-0.023153626556819074,False,True,False
iPro-WAEL/Promoter_NHEK,iPro-WAEL,0.7375107559353511,0.7859886248719985,6,-0.048477868936647406,False,True,False
iPro-WAEL/Promoter_R_capsulatus,iPro-WAEL,0.366185345859809,0.3553933812643471,6,0.01079196459546189,True,False,False
mouse/mouse_TFBS_1,mouse,0.4979019079262202,0.5342787223401653,6,-0.03637681441394508,False,True,False
mouse/mouse_TFBS_2,mouse,0.651620085254239,0.7077084338186574,6,-0.056088348564418467,False,True,False
mouse/mouse_TFBS_3,mouse,0.7478708514374496,0.7440444568158603,6,0.0038263946215892908,True,False,False
mouse/mouse_TFBS_4,mouse,0.6676825915302869,0.6285030108253176,6,0.0391795807049693,True,False,False
mouse/mouse_TFBS_5,mouse,0.3676950603017631,0.3879700708829965,6,-0.020275010581233432,False,True,False
prom/promoter_all_300bps,prom,0.6437114143591518,0.7628273050986879,6,-0.1191158907395361,False,True,False
prom/promoter_all_70bps,prom,0.4056852382609066,0.550744783962782,6,-0.14505954570187546,False,True,False
prom/promoter_notata_300bps,prom,0.7357986627015785,0.8625629229770685,6,-0.12676426027549004,False,True,False
prom/promoter_notata_70bps,prom,0.415204721077309,0.5832988691886524,6,-0.16809414811134338,False,True,False
prom/promoter_tata_300bps,prom,0.440500862381152,0.4685006790305758,6,-0.027999816649423803,False,True,False
prom/promoter_tata_70bps,prom,0.5447663881557602,0.5380463388645572,6,0.006720049291202956,True,False,False
splice/acceptors,splice,0.5475248940925188,0.4532049198826668,6,0.094319974209852,True,False,False
splice/donors,splice,0.5537163620766578,0.46237739764625,6,0.09133896443040773,True,False,False
splice/splice_site_type_DNABERT,splice,0.1746790294495853,0.2562747402087251,6,-0.0815957107591398,False,True,False
splice/splice_site_type_NT,splice,0.2033679696557003,0.1888294896542346,6,0.014538480001465709,True,False,False
tf/Human_TFBS_1,tf,0.5066854482025854,0.5386861024863973,6,-0.032000654283811825,False,True,False
tf/Human_TFBS_2,tf,0.4941024749915352,0.5112223925321794,6,-0.01711991754064418,False,True,False
tf/Human_TFBS_3,tf,0.4769421072972115,0.5346773608555915,6,-0.057735253558379995,False,True,False
tf/Human_TFBS_4,tf,0.3883242687504333,0.4092988034828098,6,-0.020974534732376482,False,True,False
tf/Human_TFBS_5,tf,0.6457807226181479,0.6560249292848147,6,-0.01024420666666681,False,True,False
virus/covid_variants,virus,0.6727182149074552,0.6937746826110441,6,-0.021056467703588932,False,True,False
