dataset,best_kmer_MCC,best_fm_MCC,best_kmer_AUROC,best_fm_AUROC,best_kmer_F1,best_fm_F1,best_kmer_Accuracy,best_fm_Accuracy
dna_foundation_benchmark/prom/promoter_tata_300bps,,0.3362370286931553,,0.7275886105860114,,0.6677533305494405,,0.6679347826086957
dna_foundation_benchmark/prom/promoter_tata_70bps,,0.3641358125369422,,0.7336856096408317,,0.6820628696750183,,0.6820652173913043
dna_foundation_benchmark/splice/acceptors,,0.4055683566158916,,0.765291013895665,,0.6983392276748231,,0.7006311992786294
dna_foundation_benchmark/splice/donors,,0.4043982640095463,,0.7760041790934865,,0.6986170579800265,,0.7000910194174758
dna_foundation_benchmark/splice/splice_site_type_DNABERT,,0.1899705925293966,,0.70693910282895,,0.3322823672559769,,0.5888799590852634
dna_foundation_benchmark/splice/splice_site_type_NT,,0.2246550510068898,,0.6784262761067831,,0.4791915387729339,,0.4813909565603821
dna_foundation_benchmark/tf/Human_TFBS_1,,0.4634628734651035,,0.801960349241684,,0.7314132494985934,,0.7315299592786504
dna_foundation_benchmark/tf/Human_TFBS_2,,0.4304626244456436,,0.784151875363164,,0.7151130970603059,,0.7151601713935931
dna_foundation_benchmark/tf/Human_TFBS_3,,0.3585156164922107,,0.748319757396241,,0.679256969921213,,0.6792572607522616
dna_foundation_benchmark/tf/Human_TFBS_4,,0.2391941787693035,,0.6715238434042077,,0.6179450417425033,,0.6189555125725339
dna_foundation_benchmark/tf/Human_TFBS_5,,0.5611258900076819,,0.8641121740137926,,0.7804897770476793,,0.7805110299952388
dna_foundation_benchmark/virus/covid_variants,,0.3979018868107057,,0.8089523541750748,,0.4657406244844752,,0.4671466492127559
dna_foundation_benchmark_long/iPro-WAEL/Promoter_GM12878,,0.8670102145596525,,0.979475041322314,,0.9334506646933064,,0.9334545454545454
dna_foundation_benchmark_long/iPro-WAEL/Promoter_HUVEC,,0.8927697920098048,,0.9849960482771432,,0.9463423214143531,,0.9463447350771296
dna_foundation_benchmark_long/iPro-WAEL/Promoter_Hela-S3,,0.876120188448701,,0.98257884830981,,0.9380074184313634,,0.9380108991825612
dna_foundation_benchmark_long/splice/acceptors,,0.4055683566158916,,0.765291013895665,,0.6983392276748231,,0.7006311992786294
dna_foundation_benchmark_long/splice/donors,,0.4043982640095463,,0.7760041790934865,,0.6986170579800265,,0.7000910194174758
dna_foundation_benchmark_long/virus/covid_variants,,0.3979018868107057,,0.8089523541750748,,0.4657406244844752,,0.4671466492127559
