dataset,n_train,n_test,n_classes,entropy_k4,perplexity_k4,mi_k4_mean,mi_k4_median,jsd_k4,entropy_k5,perplexity_k5,mi_k5_mean,mi_k5_median,jsd_k5,entropy_k6,perplexity_k6,mi_k6_mean,mi_k6_median,jsd_k6,mi_fm_NTv3_650M_pre_mean,mi_fm_NTv3_650M_pre_median,mi_fm_hyenadna-medium-160k-seqlen-hf_mean,mi_fm_hyenadna-medium-160k-seqlen-hf_median,mi_fm_DNABERT-2-117M_mean,mi_fm_DNABERT-2-117M_median
genomic_benchmark/human_vs_worm,75000,25000,2,6.4216532707214355,85.72554779052734,0.018903239876864576,0.011311802208043509,0.042786043137311935,7.012888431549072,129.14862060546875,0.007839505954090456,0.004183946820944917,0.05912398546934128,7.255617141723633,152.8123321533203,0.004398651217722574,0.0018507597888544058,0.07912085950374603,0.052575126789023284,0.04450192668775588,0.052575126789023284,0.04450192668775588,0.052575126789023284,0.04450192668775588
genomic_benchmark/open_chromatin_region,139804,34952,2,6.935146808624268,122.37345123291016,0.002805637831238195,0.0,0.0021130861714482307,7.727229595184326,211.89849853515625,0.0024359489634742954,0.0,0.003957703243941069,8.052517890930176,265.49078369140625,0.0028505915911114735,4.185355862618145e-05,0.008101004175841808,0.00941593131846705,0.009207827018302916,0.00941593131846705,0.009207827018302916,0.00941593131846705,0.009207827018302916
genomic_benchmark/promoter_notata_251bps,27097,9034,2,6.75299072265625,107.85810089111328,0.02767992598750236,0.017280199156936904,0.07170519232749939,7.469381809234619,177.2180633544922,0.01226465948147529,0.0072153440933034885,0.08760406076908112,7.769128322601318,218.14268493652344,0.005575391641321377,0.002576812175986376,0.10511413216590881,0.05061241856291659,0.04046035919534596,0.05061241856291659,0.04046035919534596,0.05061241856291659,0.04046035919534596
genomic_benchmark/regulatory_region_type,150000,57713,3,7.054818153381348,132.9571990966797,0.46948840057241764,0.5183872898430394,,7.946427345275879,246.66810607910156,0.22181859127382247,0.2352400095092282,,8.335189819335938,322.9551086425781,0.06932618867816134,0.06755211036461684,,0.02598550068810837,0.019936769589264047,0.02598550068810837,0.019936769589264047,0.02598550068810837,0.019936769589264047
iDHS-EL/DNase_I,711,306,2,6.848801136016846,115.26423645019531,0.015029905888326228,0.004602061143899827,0.034372325986623764,7.52333927154541,183.9716033935547,0.008962619199045525,0.0020667600210044768,0.04811588674783707,7.781255722045898,219.98414611816406,0.007365709367078867,0.0008381686718412773,0.07466977834701538,0.016453596324888322,0.011391504872895086,0.016453596324888322,0.011391504872895086,0.016453596324888322,0.011391504872895086
iDNA_ABF/5mC,3281,1407,2,5.053153038024902,33.200958251953125,0.004296747305198925,0.0004192114854264517,0.017415646463632584,5.239312171936035,37.77375030517578,0.0037346529800571923,0.0007389484098523358,0.027461284771561623,5.305655479431152,39.551361083984375,0.0034757908166807598,0.0,0.05105791240930557,0.007394826620641577,0.005226524705777558,0.007394826620641577,0.005226524705777558,0.007394826620641577,0.005226524705777558
iDNA_ABF/6mA,25668,11002,2,5.0704522132873535,33.601463317871094,0.005242428228258823,0.0028719334524802687,0.029215125367045403,5.246404647827148,37.95991134643555,0.0034232545796296673,0.0011085322816409837,0.042323119938373566,5.308560848236084,39.6310920715332,0.003041010137766872,0.00046492770897521574,0.06472860276699066,0.010015350222203035,0.00659591391627079,0.010015350222203035,0.00659591391627079,0.010015350222203035,0.00659591391627079
iPro-WAEL/Promoter_Arabidopsis_NonTATA,8267,3543,2,6.833606243133545,114.05661010742188,0.01665520084343735,0.010602283259878775,0.030096162110567093,7.519896984100342,183.53317260742188,0.007744533774061908,0.004531747380124518,0.04244524985551834,7.797056198120117,222.4066619873047,0.004209127852230608,0.001814308110008822,0.05681297183036804,0.06532981240201503,0.0479057127903163,0.06532981240201503,0.0479057127903163,0.06532981240201503,0.0479057127903163
iPro-WAEL/Promoter_Arabidopsis_TATA,3063,1313,2,6.84240198135376,114.75410461425781,0.016362157295847474,0.009772643569855965,0.03219427913427353,7.533242225646973,185.23876953125,0.007926599522650901,0.004352893634442245,0.044664330780506134,7.80759334564209,224.03701782226562,0.004567957343686695,0.0013737513036572446,0.060185663402080536,0.058431939078518326,0.042822886046982256,0.058431939078518326,0.042822886046982256,0.058431939078518326,0.042822886046982256
iPro-WAEL/Promoter_B_amyloliquefaciens,1483,636,2,5.078084945678711,33.77970886230469,0.011188507500555982,0.0066805072390467846,0.07452473044395447,5.241230487823486,37.824012756347656,0.006490842312874112,0.002362788831248519,0.1037655919790268,5.29569149017334,39.27914047241211,0.005523350207254119,0.0003695848184842587,0.16641893982887268,0.04740024899659303,0.031225912087391783,0.04740024899659303,0.031225912087391783,0.04740024899659303,0.031225912087391783
iPro-WAEL/Promoter_GM12878,10992,2750,2,7.533060073852539,185.2153778076172,0.08361754093029056,0.05376621644728674,0.05879475176334381,8.989703178405762,508.3587646484375,0.03856371395465426,0.01722884588424456,0.07270312309265137,9.867392539978027,934.0736694335938,0.01657031933638265,0.006483223663249715,0.08893126249313354,0.12795575307514148,0.11797565816340949,0.0989636599322257,0.06905300318951946,,
